Series ID,Year,Period,Label,Value
LNS13025703,2018,M01,2018 Jan,21.9
LNS13025703,2018,M02,2018 Feb,21.2
LNS13025703,2018,M03,2018 Mar,20.6
LNS13025703,2018,M04,2018 Apr,20.4
LNS13025703,2018,M05,2018 May,19.4
LNS13025703,2018,M06,2018 Jun,22.7
LNS13025703,2018,M07,2018 Jul,22.5
LNS13025703,2018,M08,2018 Aug,21.3
LNS13025703,2018,M09,2018 Sep,22.6
LNS13025703,2018,M10,2018 Oct,22.2
LNS13025703,2018,M11,2018 Nov,20.8
LNS13025703,2018,M12,2018 Dec,20.7
LNS13025703,2019,M01,2019 Jan,19.4
LNS13025703,2019,M02,2019 Feb,20.7
LNS13025703,2019,M03,2019 Mar,21.2
LNS13025703,2019,M04,2019 Apr,21.1
LNS13025703,2019,M05,2019 May,22.2
LNS13025703,2019,M06,2019 Jun,23.7
LNS13025703,2019,M07,2019 Jul,19.2
LNS13025703,2019,M08,2019 Aug,20.7
LNS13025703,2019,M09,2019 Sep,22.8
LNS13025703,2019,M10,2019 Oct,21.5
LNS13025703,2019,M11,2019 Nov,20.8
LNS13025703,2019,M12,2019 Dec,20.5
LNS13025703,2020,M01,2020 Jan,19.9
LNS13025703,2020,M02,2020 Feb,19.2
LNS13025703,2020,M03,2020 Mar,15.9
LNS13025703,2020,M04,2020 Apr,4.1
LNS13025703,2020,M05,2020 May,5.6
LNS13025703,2020,M06,2020 Jun,7.9
LNS13025703,2020,M07,2020 Jul,9.2
LNS13025703,2020,M08,2020 Aug,12
LNS13025703,2020,M09,2020 Sep,19.1
LNS13025703,2020,M10,2020 Oct,32.5
