Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,All Ages,"212,328","2,330,395","217,959","96,557","6,750","339,473",
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,Under 1 year,26,"13,183",123,4,16,161,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,0-17 years,111,"23,357",358,18,124,575,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,1-4 years,15,"2,484",78,2,42,133,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,5-14 years,39,"3,931",111,7,53,196,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,15-24 years,388,"25,319",509,138,55,810,
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,18-29 years,944,"44,762","1,184",392,102,"1,828",
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,25-34 years,"1,649","51,694","1,834",733,152,"2,888",
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,30-49 years,"9,714","155,000","9,153","4,377",571,"14,983",
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,35-44 years,"4,262","73,042","4,108","1,891",250,"6,700",
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,45-54 years,"11,252","133,461","10,726","5,309",585,"17,147",
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,50-64 years,"33,896","385,499","35,480","16,578","1,602","54,115",
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,55-64 years,"27,034","305,504","28,686","13,281","1,246","43,466",
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,65-74 years,"45,951","462,480","48,674","22,489","1,463","73,355",
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,75-84 years,"56,409","562,807","59,642","26,484","1,491","90,849",
10/28/2020,02/01/2020,10/24/2020,United States,All Sexes,85 years and over,"65,303","696,490","63,468","26,219","1,397","103,768",
10/28/2020,02/01/2020,10/24/2020,United States,Male,All Ages,"114,917","1,216,464","119,775","54,658","3,482","182,897",
10/28/2020,02/01/2020,10/24/2020,United States,Male,Under 1 year,18,"7,318",72,3,8,95,
10/28/2020,02/01/2020,10/24/2020,United States,Male,0-17 years,66,"13,771",195,11,65,315,
10/28/2020,02/01/2020,10/24/2020,United States,Male,1-4 years,7,"1,447",38,1,25,69,
10/28/2020,02/01/2020,10/24/2020,United States,Male,5-14 years,25,"2,353",56,6,24,99,
