Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/02/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,"58,620",0.99,"3,799",0,479,"4,278",
11/02/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,"59,329",0.99,"3,805",0,521,"4,327",
11/02/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,"58,745",1,"3,833",0,561,"4,394",
11/02/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5,"58,769",1.01,"3,698",1,565,"4,267",
11/02/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,10,"59,208",1.03,"3,826",5,655,"4,486",
11/02/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,35,"59,617",1.03,"3,965",17,634,"4,616",
11/02/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,56,"58,602",1.03,"3,965",28,625,"4,617",
11/02/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,572,"59,128",1.04,"4,539",250,558,"5,412",
11/02/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,"3,168","62,919",1.13,"6,173","1,433",443,"8,301",
11/02/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,"10,036","72,185",1.29,"9,915","4,762",478,"15,432",
11/02/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,"16,194","78,947",1.42,"11,992","7,229",473,"21,091",
11/02/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,"17,082","76,608",1.42,"11,386","7,307",265,"21,237",
11/02/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,"15,446","73,707",1.37,"10,367","6,602",144,"19,258",
11/02/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,"13,156","69,121",1.29,"8,938","5,516",65,"16,623",
11/02/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,"11,177","66,698",1.26,"7,827","4,707",48,"14,335",
11/02/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,"9,173","64,357",1.23,"6,762","3,776",21,"12,177",
11/02/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,"7,185","61,482",1.18,"5,884","2,968",24,"10,120",
11/02/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,"6,120","59,522",1.15,"5,264","2,481",12,"8,915",
11/02/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,"4,999","58,748",1.12,"4,882","2,139",11,"7,753",
11/02/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,"4,203","57,872",1.12,"4,519","1,857",11,"6,873",
11/02/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,"3,808","57,793",1.12,"4,351","1,598",8,"6,568",
11/02/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,"3,791","58,288",1.13,"4,246","1,547",11,"6,500",
11/02/2020,07/04/2020,07/04/2020,By week,United States,Week-ending,"4,482","59,580",1.15,"4,533","1,988",4,"7,028",
11/02/2020,07/11/2020,07/11/2020,By week,United States,Week-ending,"5,720","61,627",1.2,"5,501","2,698",10,"8,532",
11/02/2020,07/18/2020,07/18/2020,By week,United States,Week-ending,"7,096","62,826",1.23,"6,146","3,425",12,"9,826",
11/02/2020,07/25/2020,07/25/2020,By week,United States,Week-ending,"8,106","63,877",1.26,"6,695","3,928",10,"10,878",
11/02/2020,08/01/2020,08/01/2020,By week,United States,Week-ending,"8,188","63,749",1.25,"6,769","4,024",13,"10,939",
11/02/2020,08/08/2020,08/08/2020,By week,United States,Week-ending,"7,742","63,038",1.23,"6,720","3,937",9,"10,531",
11/02/2020,08/15/2020,08/15/2020,By week,United States,Week-ending,"7,097","62,607",1.24,"6,408","3,624",5,"9,883",
11/02/2020,08/22/2020,08/22/2020,By week,United States,Week-ending,"6,187","61,030",1.21,"5,826","3,138",12,"8,884",
11/02/2020,08/29/2020,08/29/2020,By week,United States,Week-ending,"5,466","58,880",1.15,"5,327","2,773",11,"8,026",
11/02/2020,09/05/2020,09/05/2020,By week,United States,Week-ending,"4,692","57,446",1.12,"4,931","2,366",9,"7,262",
