Data as of,Start Week,End Week,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Hispanic or Latino,Other,Footnote
10/28/2020,02/01/2020,10/24/2020,United States,Count of COVID-19 deaths,"111,469","43,284","2,179","8,653","44,359","2,384",
10/28/2020,02/01/2020,10/24/2020,United States,Distribution of COVID-19 deaths (%),52.5,20.4,1,4.1,20.9,1.1,
10/28/2020,02/01/2020,10/24/2020,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,18.5,2.4,
10/28/2020,02/01/2020,10/24/2020,United States,Weighted distribution of population (%),40.2,15.2,0.3,9.8,32.5,2,
10/28/2020,02/01/2020,10/24/2020,Alabama,Count of COVID-19 deaths,"2,294","1,350",,21,92,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Distribution of COVID-19 deaths (%),60.8,35.8,,0.6,2.4,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,4.6,1.7,
10/28/2020,02/01/2020,10/24/2020,Alabama,Weighted distribution of population (%),55.4,36.8,0.4,1.9,4,1.5,
10/28/2020,02/01/2020,10/24/2020,Arizona,Count of COVID-19 deaths,"2,318",181,701,88,"1,794",145,
10/28/2020,02/01/2020,10/24/2020,Arizona,Distribution of COVID-19 deaths (%),44.3,3.5,13.4,1.7,34.3,2.8,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unweighted distribution of population (%),54.1,4.5,3.9,3.4,31.7,2.3,
10/28/2020,02/01/2020,10/24/2020,Arizona,Weighted distribution of population (%),54.5,5.5,1.8,4.3,31.8,2.2,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Count of COVID-19 deaths,"1,130",305,,18,101,59,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Distribution of COVID-19 deaths (%),69.7,18.8,,1.1,6.2,3.6,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unweighted distribution of population (%),72,15.4,0.8,1.6,7.8,2.3,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Weighted distribution of population (%),62.8,22.4,0.7,2.4,9.5,2.2,
10/28/2020,02/01/2020,10/24/2020,California,Count of COVID-19 deaths,"5,017","1,223",61,"1,970","8,182",210,
10/28/2020,02/01/2020,10/24/2020,California,Distribution of COVID-19 deaths (%),30.1,7.3,0.4,11.8,49.1,1.3,
