Series ID,Year,Period,Label,Value
LNS14000006,2018,M01,2018 Jan,7.5
LNS14000006,2018,M02,2018 Feb,6.7
LNS14000006,2018,M03,2018 Mar,6.8
LNS14000006,2018,M04,2018 Apr,6.4
LNS14000006,2018,M05,2018 May,5.9
LNS14000006,2018,M06,2018 Jun,6.5
LNS14000006,2018,M07,2018 Jul,6.6
LNS14000006,2018,M08,2018 Aug,6.3
LNS14000006,2018,M09,2018 Sep,6.2
LNS14000006,2018,M10,2018 Oct,6.3
LNS14000006,2018,M11,2018 Nov,6.1
LNS14000006,2018,M12,2018 Dec,6.6
LNS14000006,2019,M01,2019 Jan,6.8
LNS14000006,2019,M02,2019 Feb,6.9
LNS14000006,2019,M03,2019 Mar,6.6
LNS14000006,2019,M04,2019 Apr,6.6
LNS14000006,2019,M05,2019 May,6.2
LNS14000006,2019,M06,2019 Jun,6
LNS14000006,2019,M07,2019 Jul,5.9
LNS14000006,2019,M08,2019 Aug,5.4
LNS14000006,2019,M09,2019 Sep,5.5
LNS14000006,2019,M10,2019 Oct,5.5
LNS14000006,2019,M11,2019 Nov,5.6
LNS14000006,2019,M12,2019 Dec,5.9
LNS14000006,2020,M01,2020 Jan,6
LNS14000006,2020,M02,2020 Feb,5.8
LNS14000006,2020,M03,2020 Mar,6.7
LNS14000006,2020,M04,2020 Apr,16.7
LNS14000006,2020,M05,2020 May,16.8
LNS14000006,2020,M06,2020 Jun,15.4
LNS14000006,2020,M07,2020 Jul,14.6
LNS14000006,2020,M08,2020 Aug,13
LNS14000006,2020,M09,2020 Sep,12.1
LNS14000006,2020,M10,2020 Oct,10.8
