Series ID,Year,Period,Label,Value
LNS14032183,2018,M01,2018 Jan,3
LNS14032183,2018,M02,2018 Feb,2.9
LNS14032183,2018,M03,2018 Mar,3.1
LNS14032183,2018,M04,2018 Apr,2.8
LNS14032183,2018,M05,2018 May,2.2
LNS14032183,2018,M06,2018 Jun,3.2
LNS14032183,2018,M07,2018 Jul,3.1
LNS14032183,2018,M08,2018 Aug,3
LNS14032183,2018,M09,2018 Sep,3.5
LNS14032183,2018,M10,2018 Oct,3.1
LNS14032183,2018,M11,2018 Nov,2.8
LNS14032183,2018,M12,2018 Dec,3.3
LNS14032183,2019,M01,2019 Jan,3.1
LNS14032183,2019,M02,2019 Feb,3.1
LNS14032183,2019,M03,2019 Mar,3.1
LNS14032183,2019,M04,2019 Apr,2.2
LNS14032183,2019,M05,2019 May,2.5
LNS14032183,2019,M06,2019 Jun,2.1
LNS14032183,2019,M07,2019 Jul,2.8
LNS14032183,2019,M08,2019 Aug,2.8
LNS14032183,2019,M09,2019 Sep,2.5
LNS14032183,2019,M10,2019 Oct,2.8
LNS14032183,2019,M11,2019 Nov,2.6
LNS14032183,2019,M12,2019 Dec,2.5
LNS14032183,2020,M01,2020 Jan,3
LNS14032183,2020,M02,2020 Feb,2.5
LNS14032183,2020,M03,2020 Mar,4.1
LNS14032183,2020,M04,2020 Apr,14.5
LNS14032183,2020,M05,2020 May,15
LNS14032183,2020,M06,2020 Jun,13.8
LNS14032183,2020,M07,2020 Jul,12
LNS14032183,2020,M08,2020 Aug,10.7
LNS14032183,2020,M09,2020 Sep,8.9
LNS14032183,2020,M10,2020 Oct,7.6
