Entity,Code,Date,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations"
Afghanistan,AFG,1/2/2020,0,
Afghanistan,AFG,1/3/2020,0,
Afghanistan,AFG,1/4/2020,0,
Afghanistan,AFG,1/5/2020,0,
Afghanistan,AFG,1/6/2020,0,
Afghanistan,AFG,1/7/2020,0,
Afghanistan,AFG,1/8/2020,0,
Afghanistan,AFG,1/9/2020,0,
Afghanistan,AFG,1/10/2020,0,
Afghanistan,AFG,1/11/2020,0,
Afghanistan,AFG,1/12/2020,0,
Afghanistan,AFG,1/13/2020,0,
Afghanistan,AFG,1/14/2020,0,
Afghanistan,AFG,1/15/2020,0,
Afghanistan,AFG,1/16/2020,0,
Afghanistan,AFG,1/17/2020,0,
Afghanistan,AFG,1/18/2020,0,
Afghanistan,AFG,1/19/2020,0,
Afghanistan,AFG,1/20/2020,0,
Afghanistan,AFG,1/21/2020,0,
Afghanistan,AFG,1/22/2020,0,
Afghanistan,AFG,1/23/2020,0,
Afghanistan,AFG,1/24/2020,0,
Afghanistan,AFG,1/25/2020,0,
Afghanistan,AFG,1/26/2020,0,
Afghanistan,AFG,1/27/2020,0,
Afghanistan,AFG,1/28/2020,0,
Afghanistan,AFG,1/29/2020,0,
Afghanistan,AFG,1/30/2020,0,
Afghanistan,AFG,1/31/2020,0,
Afghanistan,AFG,2/1/2020,0,
Afghanistan,AFG,2/2/2020,0,
Afghanistan,AFG,2/3/2020,0,
Afghanistan,AFG,2/4/2020,0,
Afghanistan,AFG,2/5/2020,0,
Afghanistan,AFG,2/6/2020,0,
Afghanistan,AFG,2/7/2020,0,
Afghanistan,AFG,2/8/2020,0,
Afghanistan,AFG,2/9/2020,0,
Afghanistan,AFG,2/10/2020,0,
Afghanistan,AFG,2/11/2020,0,
Afghanistan,AFG,2/12/2020,0,
Afghanistan,AFG,2/13/2020,0,
Afghanistan,AFG,2/14/2020,0,
Afghanistan,AFG,2/15/2020,0,
Afghanistan,AFG,2/16/2020,0,
Afghanistan,AFG,2/17/2020,0,
Afghanistan,AFG,2/18/2020,0,
Afghanistan,AFG,2/19/2020,0,
Afghanistan,AFG,2/20/2020,0,
Afghanistan,AFG,2/21/2020,0,
Afghanistan,AFG,2/22/2020,0,
Afghanistan,AFG,2/23/2020,0,
Afghanistan,AFG,2/24/2020,0,
Afghanistan,AFG,2/25/2020,0.14286,
Afghanistan,AFG,2/26/2020,0.14286,
Afghanistan,AFG,2/27/2020,0.14286,
Afghanistan,AFG,2/28/2020,0.14286,
Afghanistan,AFG,2/29/2020,0.14286,
Afghanistan,AFG,3/1/2020,0.14286,
Afghanistan,AFG,3/2/2020,0.14286,
Afghanistan,AFG,3/3/2020,0,
Afghanistan,AFG,3/4/2020,0,
Afghanistan,AFG,3/5/2020,0,
Afghanistan,AFG,3/6/2020,0,
Afghanistan,AFG,3/16/2020,4,
Afghanistan,AFG,3/17/2020,4.25,
Afghanistan,AFG,3/18/2020,3.75,
Afghanistan,AFG,3/19/2020,3,
Afghanistan,AFG,3/20/2020,2.5,
Afghanistan,AFG,3/21/2020,2.42857,
Afghanistan,AFG,3/22/2020,2,
Afghanistan,AFG,3/23/2020,2.57143,
Afghanistan,AFG,3/24/2020,2.71429,
Afghanistan,AFG,3/25/2020,2.85714,
Afghanistan,AFG,3/26/2020,7.57143,
Afghanistan,AFG,3/27/2020,7.57143,
Afghanistan,AFG,3/28/2020,9.57143,
Afghanistan,AFG,3/29/2020,11.71429,
Afghanistan,AFG,3/30/2020,11.42857,
Afghanistan,AFG,3/31/2020,14.42857,
Afghanistan,AFG,4/1/2020,17.71429,
Afghanistan,AFG,4/2/2020,16.71429,
Afghanistan,AFG,4/3/2020,22.85714,
Afghanistan,AFG,4/4/2020,20.57143,
Afghanistan,AFG,4/5/2020,23.42857,
Afghanistan,AFG,4/6/2020,26.42857,
Afghanistan,AFG,4/7/2020,28,
Afghanistan,AFG,4/8/2020,28.71429,
